media_id,Media_vehicle
16873,Smart Bus Shelter - Vinay marg Chanakyapuri -  Panchsheel Marg to Sarojini Nagar
16889,Metro Signage -  Chattarpur Metro Station -  Gurgaon to Delhi
16890,Metro Signage -  Chattarpur Metro Station -  Delhi to Gurgaon
16891,Metro Bridge Panel -  Chattarpur Metro Station -  Delhi to Gurgaon
16892,Metro Bridge Panel -  Chattarpur Metro Station -  Delhi to Gurgaon
16893,Metro Bridge Panel -  Chattarpur Metro Station -  Delhi to Gurgaon
16894,Metro Bridge Panel -  Chattarpur Metro Station -  Gurgaon to Delhi
16896,Metro Bridge Panel -  Chattarpur Metro Station -  Gurgaon to Delhi
16897,Cycle Shelter -  Ambedkar Nagar Khanpur Crossing -  Khanpur to Chirag Delhi
16898,Cycle Shelter -  Sheikh Sarai T-Point -  Chirag Delhi to Khanpur
16900,Public Utility -  Chirag Delhi -  Moolchand to Khanpur
16901,Public Utility -  Sheikh Sarai -  Chirag Delhi to Khanpur
16902,Public Utility -  Pushp Vihar -  Khanpur to Chirag Delhi
16903,Cycle Shelter -  Chirag Delhi Crossing -  Moolchand to Khanpur
16931,Flag Sign -  Defence Colony Market - Defence colony market parking lot
16934,Unipole -  Jungpura Petrol Pump -  Moolchand to Pragati Maidan
16935,Unipole -  Jungpura -  Moolchand to Pragati Maidan
28212,Unipole - South Extension - Sufdarjang to Lajpat Nagar
16937,Smart Bus Shelter -  Defence Colony Nr Subway -  Nizamuddin to Moolchand
16943,Subway Panel -  Defence Colony before petrol pump -  Jungpura to Moolchand Flyover
16944,Subway Panel -  Defence Colony before petrol pump - Moolchand Flyover to Jungpura 
16945,Metro Panel -  Defence Colony Flyover -  Defence Colony to Moolchand
16946,Public Utility -  Defence Colony Road CGO Turn -  Moolchand to Pragati Maidan
16947,Public Utility -  Defence Colony Near Petrol Pump -  Moolchand to Pragati Maidan
16948,Unipole -  Opp. Oberoi Hotel -  Pragati Maidan to Moolchand
16949,Unipole -  Opp. Oberoi Hotel -  Pragati Maidan to Moolchand
16950,Unipole -  Opp. Oberoi Hotel -  Moolchand to Defence Colony
16951,Unipole -  Defence Colony - Pragati Maidan to Moolchand
16952,Unipole -  Defence Colony -  Pragati Maidan to Moolchand
16953,Unipole -  Defence Colony -  Pragati Maidan to Moolchand
16954,Unipole -  Defence Colony -  Pragati Maidan to Moolchand
16955,Unipole -  Defence Colony -  Pragati Maidan to Moolchand
16956,Unipole -  Defence Colony -  Pragati Maidan to Moolchand
16957,Unipole -  Opp. Oberoi Hotel - Moolchand to Pragati Maidan
16966,Smart Bus Shelter -  Dr. Zakir Hussain Marg Delhi Golf Club -  India Gate to Nizamuddin
16972,Pillar Wrap -  Dhaula Kuan - Naraina to AIIMS
16974,Metro Signage -  Dhaula Kuan -  Gurgaon to Delhi
16977,Billboard -  Dhaula Kuan - Gurgaon to Delhi
17112,Metro Signage -  Ghitorni Metro Station -  Gurgaon to Delhi
17113,Metro Signage -  Ghitorni Metro Station -  Delhi to Gurgaon
17121,Public Utility -  Zamrudpur Opp.LSR College -  Nehru Place to Zamrudpur
17122,Public Utility -  G.K. Behind Archana Complex - J.B.Tito marg TO G.K- I
17130,Metro Bridge Panel -  Kailash Colony Metro Station -  Nehru Place to Moolchand
17131,Metro Bridge Panel -  LSR -  Andrews Ganj to Nehru Place
17132,Public Utility -  Greater Kailash More -  Chirag Delhi to Moolchand
27010,Unipole - Munirka - IIT to Airport
27009,Unipole - IIT gate - IIT to Airport
17140,Vending Kiosk -  Opp. Sirifort -  Panchsheel to South Extention
17141,Vending Kiosk -  Balbir Saxena Marg Hauz Khas -  Aurobindo Marg to Siri Fort 
17142,Standee Unit -  Balbir Saxena Marg Red Light -  Aurobindo Marg to Siri Fort
17144,Unipole -  Nr. Essex Farm -  IIT to Mehrauli
17146,Smart Bus Shelter -  INA Market Aurobindo Marg - Safdarjung Airport to AIIMS
17147,Smart Bus Shelter -  INA  Market -  Safdarjung Airport to Yusuf Sarai
17178,Unipole -  J B Tito Marg -  Chirag Delhi to Moolchand
17183,Cycle Shelter -  Sirifort Crossing  -  Chirag Delhi to Moolchand
17184,Cycle Shelter -  Moolchand T-Point Nr. Center School -  Chirag Delhi to Moolchand
17185,Public Utility -  JB Tito Marg - Chirag Delhi to Moolchand
17218,Metro Bridge Panel -  Kailash Colony Metro Station -  Moolchand to Nehru Place
17219,Metro Pillars -  Kailash Colony - Moolchand to Nehru place
17220,Gantry -  Kalindi Kunj Toll Tax -  Noida to Delhi
17221,Unipole -  Kalindi Kunj -  Noida to Delhi
17222,Unipole -  Kalindi Kunj -  Delhi to Noida
17223,Unipole -  Kalindi Kunj -  Noida to Delhi
17224,Unipole -  Kalindi Kunj -  Delhi to Noida
17225,Unipole -  Kalindi Kunj -  Noida to Delhi
17226,Unipole -  Kalindi Kunj -  Noida to Delhi
17227,Unipole -  Kalindi Kunj -  Noida to Delhi
17228,Unipole -  Kalindi Kunj -  Noida to Delhi
17229,Unipole -  Kalindi Kunj Opp. Police Beat -  Noida to Delhi
17230,Unipole -  Kalindi Kunj Opp. Police Beat -  Noida to Delhi
17231,Unipole -  Kalindi Kunj -  Noida to Delhi
17232,Unipole -  Kalindi Kunj -  Noida to Delhi
17233,Unipole -  Kalindi Kunj -  Mathura Road to Noida
17234,Unipole -  Kalindi Kunj -  Noida to Mathura Road
17235,Unipole -  Kalindi Kunj -  Noida to Delhi
17236,Unipole -  Kalindi Kunj -  Noida to Delhi
17237,Unipole -  Kalindi Kunj -  Noida to Delhi
17238,Unipole -  Kalindi Kunj -  Noida to Delhi
17239,Unipole -  Kalindi Kunj -  Delhi to Noida
17240,Gantry -  Kalindi Kunj -  Delhi to Noida
17241,Gantry -  Kalindi Kunj -  Delhi to Noida
17242,Gantry -  Kalindi Kunj -  Delhi to Noida
17243,Gantry -  Kalindi Kunj -  Delhi to Noida
17244,Gantry -  Kalindi Kunj -  Noida to Delhi
17245,Gantry -  Kalindi Kunj -  Noida to Delhi
17246,Gantry -  Kalindi Kunj -  Noida to Delhi
17247,Metro Bridge Panel -  Govindpuri -  Nehru Place to Okhla
17315,Public Utility -  Opp. Ansal Plaza -  Panchsheel to South Extention
17316,Public Utility -  Nr. Ansal Plaza Hudco Place -  South Extention to Panchsheel
17317,Vending Kiosk - Shahpur Jaat Red Light -  Panchsheel to South Extention
17318,Vending Kiosk -  Anand Lok Red Light -  South Extention to Panchsheel
17319,Standee Unit - Shahpur Jaat Red Light - South Ext to Siri Fort
17325,Pole Kiosks -  Lajpat Nagar - Modi Mill to Ring road
17326,Metro Bridge Panel -  Lajpat Nagar Metro station -  Defence Colony to Moolchand
17329,Metro Bridge Panel -  Lajpat Nagar Metro station -  Moolchand to Defence Colony
17338,Public Utility -  JLN Stadium Bhismpitamah Marg - Sewa nagar to Khan market
17339,Police Booth -  JLN Stadium Bhismpitamah Marg - Sewa nagar to Khan market
17340,Vending Kiosk -  JLN Stadium Bhismpitamah Marg - Sewa nagar to Khan market
17341,Dustbin -  JLN Stadium Bhismpitamah Marg - Sewa nagar to Khan market
17343,Bench -  Lodhi Road - Sewa nagar to Khan market
17344,Mini Unipole -  JLN Stadium & CGO Road Xing - Sewa nagar to Khan market
17345,Mini Unipole -  Lodhi Road Dayal Singh College Xing - Sewa nagar to Khan market
17346,Mini Unipole -  Lodhi Road India Habitat Centre Xing - Lodhi colony to Lodhi garden
17347,Mini Unipole -  Lodhi Road Outside Parking Gate - Lodhi road to Dayal Singh College
17348,Smart Bus Shelter -  Lodhi Colony Jor Bagh Road - Pragati Vihar to Safdarjung Aerodrome
17349,Smart Bus Shelter -  Lodhi Colony Jor Bagh Road - Safdarjung Aerodrome to Pragati Vihar
17350,Smart Bus Shelter -  Lodhi Colony Market Lodhi Road -  Mehar Chand Market to Khanna Market
17351,Smart Bus Shelter -  Lodhi Colony Market Lodhi Road -  Khanna Market to Mehar Chand Market
17352,Smart Bus Shelter -  Lodhi garden Lodhi Road - Aurobindo marg to Nizamuddin
17353,Smart Bus Shelter -  Mausam Bhawan Lodhi Road -  Dayal Singh College to Aurobindo Marg
17359,Public Utility - Opp. Oberoi hotel -  Pragati Maidan to Moolchand
17361,Public Utility -  Opposite Sai Temple Lodhi Road -  Sewa Nagar to Khan Market
17372,Billboard -  Malviya Nagar Metro Station - Mehrauli to Saket
17388,Public Utility -  New Friends Colony Mathura Road -  Ashram to Badarpur
17389,Public Utility -  New Friends Colony Mathura Road -  Badarpur to Ashram
17390,Public Utility -  CRRI Mathura Road -  Ashram to Badarpur
17391,Public Utility -  Sukhdev Vihar Mathura Road -  Ashram to Badarpur
17392,Public Utility -  Mohan Co-operative Mathura Road -  Ashram to Badarpur
17393,Public Utility -  Mohan Co-operative Mathura Road -  Ashram to Badarpur
17394,Public Utility -  Mohan Co-operative Mathura Road -  Badarpur to Ashram
17395,Public Utility -  Mohan Co-operative Near Haldiram Mathura Road - Ashram to Badarpur
17396,Public Utility -  Apollo Hospital Mathura Road -  Ashram to Badarpur
17401,Metro Bridge Panel -  Jasola -  Badarpur to Ashram
17402,Metro Bridge Panel -  Jasola -  Badarpur to Ashram
17403,Metro Bridge Panel -  Jasola -  Ashram to Badarpur
17404,Metro Bridge Panel -  Jasola -  Ashram to Badarpur
17451,Public Utility -  MB Road Airforce Station -  Badarpur to Khanpur
17452,Public Utility -  MB Road Opp. PWD Office -  Badarpur to Lado Sarai
17453,Vending Kiosk -  Karni Singh Shooting Range -  Khanpur to Badarpur
17455,Public Utility -  Khanpur T - Point -  MB Road to Khanpur
17463,Metro Pillars -  Qutub Minar to Arjan Garh (Back to Back) -  Qutub Minar to Arjan Garh (Back to Back)
17464,Metro Signage -  Arjan Garh Metro Station -  Delhi to Gurgaon
17465,Metro Signage -  Sultanpur Metro Station -  Gurgaon to Delhi
17466,Metro Signage -  Ghitorni Metro Station -  Gurgaon to Delhi
17467,Metro Signage -  Sultanpur Metro Station -  Delhi to Gurgaon
17468,Metro Signage -  Ghitorni Metro Station -  Delhi to Gurgaon
17469,Metro Bridge Panel - Chattarpur Metro Station - Gurgaon to Delhi
17471,Metro Bridge Panel -  Chattarpur Metro Station -  Gurgaon to Delhi
17472,Metro Signage -  Arjan Garh Metro Station -  Gurgaon to Delhi
17473,Metro Signage -  Sultanpur Metro Station -  Delhi to Gurgaon
17474,Metro Signage -  Chattarpur Metro Station -  Gurgaon to Delhi
17475,Metro Signage -  Chattarpur Metro Station -  Delhi to Gurgaon
17476,Metro Bridge Panel -  Chattarpur Metro Station -  Delhi to Gurgaon
17477,Metro Bridge Panel -  Chattarpur Metro Station -  Delhi to Gurgaon
17478,Metro Bridge Panel -  Chattarpur Metro Station -  Delhi to Gurgaon
17479,Unipole - Ahinsa Sthal MG road -  Gurgaon to Delhi
17480,Unipole -  MG Road Nr Qutub Metro Station -  Delhi to Gurgaon
17484,Unipole - MG road Nr. Ahinsa Sthal -  Delhi to Gurgaon
26903,Unipole - Andheria Morh - Gurgaon to Delhi
26904,Unipole - Green park - IIT to AIIMS
17499,Metro Pillars -  Moolchand -  Around Moolchand Station
25740,Smart Bus Shelter - Aya Nagar Crossing - Guragoan to Delhi
17501,Public Utility -  LSR Flyover -  Chirag Delhi to Defence Colony
17502,Public Utility -  Moolchand -  Moolchand to Pragati Maidan
17516,Unipole - Munirka Outer Ring road -  IIT to Vasant Vihar
17520,Smart Bus Shelter -  Nehru Place -  Kalkaji to LSR
17521,Smart Bus Shelter -  Nehru Place -  Kalkaji to LSR
17522,Smart Bus Shelter -  Nehru Place -  LSR to Kalkaji
17523,Smart Bus Shelter -  Nehru Place -  LSR to Kalkaji
17524,Smart Bus Shelter -  Nehru Place -  LSR to Kalkaji
17525,Smart Bus Shelter -  Nehru Place -  LSR to Kalkaji
17531,Metro Bridge Panel -  Nehru Place -  Moolchand to Kalkaji
17532,Metro Bridge Panel -  Kalkaji Mandir -  Modi Mill to Nehru Place
17533,Metro Bridge Panel -  Kalkaji Mandir -  Modi Mill to Nehru Place
17534,Metro Pillars -  Nehru Place - LSR to Nehru place
20894,Unipole - Moolchand Flyover - Chirag Delhi to Defence Colony
20895,Unipole - Moolchand Flyover - Defence Colony to Chirag Delhi
17581,Standee Unit -  Nizamuddin Xing -  Habitat Centre to Nizamuddin Xing
17583,Smart Bus Shelter -  Oberoi Hotel -  Pragati Maidan to Moolchand
17585,Smart Bus Shelter -  Oberoi Hotel -  Moolchand to Oberoi
17586,Smart Bus Shelter -  DPS School Mathura Road -  Oberoi to ITO
17602,Billboard -  Okhla Near Nathu Sweet - Kalkaji to Tughlakabad
17603,Billboard -  Okhla Near Nathu Sweet - Kalkaji to Tughlakabad
17604,Billboard -  Okhla Near Nathu Sweet - Kalkaji to Tughlakabad
27001,Unipole - Soami Nagar - Nehru place to IIT
27002,Unipole - Soami Nagar - Nehru place to IIT
17688,Pole Kiosks -  R.K. Puram Sec - 1 - Sec- 1 to Sec- 4
17689,Mini Unipole -  R.K. Puram Sec. 1 Kashmiri Mkt. Xing -  R K Puram to Ring Road
17690,Mini Unipole -  R.K. Puram Sec. 1 Kashmiri Mkt. Xing -  R K Puram to Ring Road
17691,Mini Unipole -  R.K. Puram Sec - 1 Delhi Tamil Sangam Xing -  Munirka to Ring Road
17692,Mini Unipole -  R.K. Puram Sec - 1 Delhi Tamil Sangam Xing -  Munirka to Ring Road
17693,Standee Unit -  Africa Avenue -  Bhikaji to Outer Ring Road
17694,Mini Unipole -  Africa Avenue St. Thomas Church Xing. - R.K.Puram to Bhikaji
17696,Vending Kiosk -  Africa Avenue Gate No. 8 R.K. Khanna Stadium - Sec- 2 to Sec- 8
17697,Public Utility -  RK Puram Near. Sangam Cinema -  Around R K Puram
17741,Unipole -  Sarai Kale Khan - Maharani bagh to ITO
17745,Smart Bus Shelter -  Bapu Dham Sardar Patel Marg -  Dhaula Kuan to 11 murti
17746,Smart Bus Shelter -  Vinay Marg Sardar Patel Marg -  Dhaula Kuan to 11 murti
17747,Smart Bus Shelter -  Railway Colony Sardar Patel Marg -  Dhaula Kuan to 11 murti
17748,Smart Bus Shelter -  Railway Colony Sardar Patel Marg -  Dhaula Kuan to 11 murti
17749,"Smart Bus Shelter - Bhartiya Sadu Samaj, Sardar Patel marg -  Dhaula Kuan to 11 murti"
17750,"Smart Bus Shelter - Bhartiya Sadu Samaj, Sardar Patel marg -  Dhaula Kuan to 11 murti"
17751,Smart Bus Shelter -  Palika Kutumb Sardar Patel Marg -  Dhaula Kuan to 11 murti
17752,Smart Bus Shelter -  Palika Kutumb Sardar Patel Marg -  Dhaula Kuan to 11 murti
17753,Smart Bus Shelter -  Opposite Maurya Shereton Sardar Patel Marg -  Dhaula Kuan to 11 murti
17754,Unipole -  Sarita Vihar -  Noida to Delhi
17755,Unipole -  Sarita Vihar -  Delhi to Noida
17756,Metro Bridge Panel -  Sarita Vihar -  Badarpur to Ashram
17757,Metro Pillars -  Jasola - Delhi to Faridabad
17758,Metro Pillars -  Sarita Vihar - Delhi to Faridabad
17759,Smart Bus Shelter -  Africa Avenue S.N.Depot Sarojini Nagar - Ring road to Chanakyapuri
17760,Smart Bus Shelter -  Africa Avenue S.N.Depot Sarojini Nagar - Ring road to Chanakyapuri
17761,Smart Bus Shelter -  Africa Avenue S.N.Depot Sarojini Nagar - Ring road to Chanakyapuri
