,media_id,Illumination
1070,27735,Nonlit
1071,27736,Nonlit
1072,27737,Nonlit
1073,27738,Nonlit
1074,27739,Nonlit
1075,27740,Nonlit
1076,27741,Nonlit
1077,27921,Frontlit
1078,20473,Frontlit
1079,20469,Frontlit
1080,17189,Frontlit
1081,17634,Frontlit
1082,19442,Frontlit
1083,19443,Frontlit
1084,19445,Frontlit
1085,22747,Backlit
1086,22770,Backlit
1087,22771,Backlit
1088,22772,Backlit
1089,22773,Backlit
1090,22774,Backlit
1091,22775,Backlit
1092,22776,Backlit
1093,22777,Backlit
1094,22778,Backlit
1095,22779,Backlit
1096,22800,Backlit
1097,22801,Backlit
1098,20510,Frontlit
1099,20511,Frontlit
1100,20507,Frontlit
1101,20505,Frontlit
1102,20506,Frontlit
1103,20503,Frontlit
1104,20504,Frontlit
1105,20501,Frontlit
1106,20502,Frontlit
1107,20499,Frontlit
1108,20500,Frontlit
1109,20497,Frontlit
1110,20498,Frontlit
1111,20495,Frontlit
1112,20496,Frontlit
1113,20493,Frontlit
1114,20494,Frontlit
1115,20491,Frontlit
1116,20492,Frontlit
1117,20490,Frontlit
1118,20484,Frontlit
1119,20482,Frontlit
1120,20483,Frontlit
1121,20480,Frontlit
1122,20481,Frontlit
1123,20479,Frontlit
1124,20476,Frontlit
1125,20477,Frontlit
1126,20474,Frontlit
1127,20475,Frontlit
1128,20471,Frontlit
1129,20472,Frontlit
1130,20470,Frontlit
1131,28075,Frontlit
1132,28079,Frontlit
1133,28080,Frontlit
1134,28087,Frontlit
1135,28083,Frontlit
1136,26258,Backlit
1137,16131,Frontlit
1138,16132,Frontlit
1139,16133,Frontlit
1140,16134,Frontlit
1141,16135,Backlit
1142,16138,Frontlit
1143,16139,Frontlit
1144,16178,Frontlit
1145,16179,Frontlit
1146,16181,Frontlit
1147,16185,Frontlit
1148,16292,Frontlit
1149,16293,Frontlit
1150,16294,Frontlit
1151,16295,Frontlit
1152,16296,Frontlit
1153,16297,Frontlit
1154,16298,Frontlit
1155,16299,Frontlit
1156,16310,Frontlit
1157,16311,Frontlit
1158,16312,Frontlit
1159,16322,Frontlit
1160,16343,Frontlit
1161,16344,Frontlit
1162,16345,Frontlit
1163,16346,Frontlit
1164,16673,Frontlit
1165,16674,Frontlit
1166,16675,Frontlit
1167,16676,Frontlit
1168,16677,Frontlit
1169,16678,Frontlit
1170,16679,Frontlit
1171,16680,Frontlit
1172,16681,Frontlit
1173,16682,Frontlit
1174,16683,Frontlit
1175,21695,Frontlit
1176,21696,Frontlit
1177,21693,Frontlit
1178,21694,Frontlit
1179,21691,Frontlit
1180,21692,Frontlit
1181,17186,Backlit
1182,17187,Frontlit
1183,17188,Frontlit
1184,17190,Frontlit
1185,17191,Frontlit
1186,17192,Frontlit
1187,17193,Frontlit
1188,17194,Frontlit
1189,17195,Frontlit
1190,17196,Frontlit
1191,17197,Frontlit
1192,17260,Frontlit
1193,17320,Frontlit
1194,17321,Frontlit
1195,17322,Frontlit
1196,17323,Backlit
1197,17324,Frontlit
1198,17409,Frontlit
1199,17410,Frontlit
1200,17505,Frontlit
1201,17506,Frontlit
1202,17507,Frontlit
1203,17508,Frontlit
1204,17509,Frontlit
1205,17510,Frontlit
1206,17511,Backlit
1207,17512,Backlit
1208,17513,Frontlit
1209,17514,Frontlit
1210,17515,Frontlit
1211,17615,Frontlit
1212,17616,Frontlit
1213,17617,Frontlit
1214,17618,Frontlit
1215,17619,Frontlit
1216,17620,Frontlit
1217,17621,Frontlit
1218,17622,Frontlit
1219,17623,Frontlit
1220,17624,Backlit
1221,17625,Backlit
1222,17631,Frontlit
1223,17632,Frontlit
1224,17633,Frontlit
1225,17635,Frontlit
1226,17636,Frontlit
1227,17637,Frontlit
1228,17638,Frontlit
1229,17678,Frontlit
1230,17679,Frontlit
1231,17680,Frontlit
1232,17681,Frontlit
1233,17682,Frontlit
1234,17683,Frontlit
1235,17702,Frontlit
1236,17703,Frontlit
1237,17704,Frontlit
1238,17705,Frontlit
1239,17706,Frontlit
1240,17707,Backlit
1241,17712,Frontlit
1242,17713,Frontlit
1243,17731,Frontlit
1244,17732,Backlit
1245,17733,Frontlit
1246,17802,Frontlit
1247,17803,Frontlit
1248,17804,Frontlit
1249,17805,Frontlit
1250,17806,Frontlit
1251,17807,Frontlit
1252,17808,Frontlit
1253,17809,Frontlit
1254,17880,Backlit
1255,17881,Frontlit
1256,17882,Frontlit
1257,17883,Frontlit
1258,17907,Frontlit
1259,26895,Frontlit
1260,19348,Frontlit
1261,19373,Frontlit
1262,19374,Frontlit
1263,19375,Frontlit
1264,19376,Frontlit
1265,19377,Frontlit
1266,19378,Frontlit
1267,19379,Frontlit
1268,19380,Frontlit
1269,19381,Frontlit
1270,19418,Frontlit
1271,19419,Frontlit
1272,19420,Frontlit
