Sr No.,Location,Description,LIT,Size,Link,Image Name
30,Banjara Hills ,top of Vodafone; Ravi    Chambers;  ftf. Jn,LIT,50x25,http://www.prakasharts.com/,1_O51640_thumb_front.jpg
31,Banjara Hills ,Nag Cr top of    Vodafone ftf.Police St; X Rds,LIT,60x25,http://www.prakasharts.com/code1/3056. Banjara hills Nag Cr top of Vodafone ftf.Police St; X Rds(lit) 60x25.JPG,1_O51641_thumb_front.jpg
32,Barkatpura   ,Opp. Petrol Bunk ftf.    Kachiguda,C,40x15,http://www.prakasharts.com/code1/3057. Barkathpura Opp; Petrol Pump Ftf; Kachiguda  40x15.JPG,1_O51642_thumb_front.jpg
33,Basheerbagh,Hyderguda; ftf: Old    MLA Qrts,C,40x20,http://www.prakasharts.com/code1/3058. Basheerbagh Hyderguda ftf; old MAL qrts 40x20.JPG,1_O51643_thumb_front.jpg
34,Basheerbagh,L.B.Stadium; top of    Press Club ftf. Liberty,LIT,40x25,http://www.prakasharts.com/code1/3059. Basheerbagh Fo Fg Liberty 40x25.JPG,1_O51644_thumb_front.jpg
35,Basheerbagh,Top of Broadway    Tailors ftf. Junction,P,30x20,http://www.prakasharts.com/code1/3063.Basheerbagh Top of Broadway Tailors 30x20_Yashoda - 3.JPG,1_O51645_thumb_front.jpg
36,Basheerbagh,Near Ohris; MOR ftf.    Shanbagh; Nizam College,LIT,40x20,http://www.prakasharts.com/code1/3064. Basheerbagh Above Mor Fg; Abids 40x20_GODREJ.JPG,1_O51646_thumb_front.jpg
37,Basheerbagh,Near Ohris; MOR    ftf.Liberty; Tankbund,LIT,40x20,http://www.prakasharts.com/code1/3065. Basheerbagh  Nr Ohris MOR Fg; Liberty Tankbund  40x20.jpg,1_O51647_thumb_front.jpg
38,Begumpet,adj: Old airport    flyover,LIT,50x25,http://www.prakasharts.com/,1_O51648_thumb_front.jpg
39,Begumpet,Old Airport flyover;    ftf:Rasoolpura;  Sec,LIT,40x20,http://www.prakasharts.com/,1_O51649_thumb_front.jpg
40,Begumpet,opp. Shoppers stop    ftf. Old Airport,LIT,45x25,http://www.prakasharts.com/code1/3069. Begumpet Opp; Shoppers Stop Ftf Old Airportr 45x25_Jade Blue.JPG,1_O51650_thumb_front.jpg
41,Begumpet,Varun Towers-I ftf.    Greenlands; Lifestyle,LIT,50x25,http://www.prakasharts.com/code1/3073. Begumpet FO Top of Varun Motors 50x25_3.JPG,1_O51651_thumb_front.jpg
42,Begumpet,Flyover;Varun    Towers-II; ftf Lifestyle; Greenlands      [ L ],LIT,60x25,http://www.prakasharts.com/code1/3074. Begumpet Fo Top of Varun Motors Towers Fg Life style  Greenland 60x25 _MTS Mobile (L).JPG,1_O51652_thumb_front.jpg
43,Begumpet,Flyover;Varun    Towers-II; ftf Lifestyle; Greenlands      [ R ],LIT,60x25,http://www.prakasharts.com/code1/3075. Begumpet Fo Top of Varun Motors Towers Fg Life style  Greenland 60x25 _Spice Jet (R).JPG,1_O51653_thumb_front.jpg
44,Begumpet,adj. Flyover; Nala    ftf.Greenlands; Lifestyle,LIT,50x25,http://www.prakasharts.com/,1_O51654_thumb_front.jpg
45,Begumpet,Flyover; Nala ftf.Old    Airport; Shoppers stop,LIT,30x25,http://www.prakasharts.com/,1_O51655_thumb_front.jpg
46,Begumpet,Flyover; Nala    ftf.Greenlands; Lifestyle [L],LIT,60x25,http://www.prakasharts.com/,1_O51656_thumb_front.jpg
47,Begumpet,Flyover; Nala    ftf.Greenlands; Lifestyle [R],LIT,60x25,http://www.prakasharts.com/,1_O51657_thumb_front.jpg
